"","date","junctionName","time","primaryDownstreamJunctionSection/downStreamJunctionDestination","primaryDownstreamJunctionSection/upStreamJunctionDestination","primaryDownstreamJunctionSection/links/0/speedLimit","primaryDownstreamJunctionSection/avgSpeed","secondaryUpstreamJunctionSection/downStreamJunctionDestination","secondaryUpstreamJunctionSection/upStreamJunctionDestination","secondaryUpstreamJunctionSection/links/0/speedLimit","secondaryUpstreamJunctionSection/avgSpeed","primaryUpstreamJunctionSection/downStreamJunctionDestination","primaryUpstreamJunctionSection/upStreamJunctionDestination","primaryUpstreamJunctionSection/links/0/speedLimit","primaryUpstreamJunctionSection/avgSpeed","secondaryDownstreamJunctionSection/avgSpeed"
"36",2022-04-04,"J30","07:30","Sheffield","Sheffield",70,63.53261,"Worksop","Worksop",70,64.08955,"Sheffield","Chesterfield (E) / Bolsover",70,62.75849,63.159542
"37",2022-04-04,"J31","07:30","Doncaster","Sheffield",70,63.575325,"Worksop","Sheffield",70,65.92136,"Sheffield","Sheffield",70,63.53261,64.08955
"38",2022-04-04,"J32","07:30","Sheffield Airport / Rotherham","Doncaster",70,59.030266,"Sheffield","Rotherham",70,66.99636,"Doncaster","Sheffield",70,63.575325,65.92136
"39",2022-04-04,"J33","07:30","Sheffield / Rotherham","Sheffield Airport / Rotherham",70,65.28641,"Rotherham","Sheffield / Rotherham",70,63.75359,"Sheffield Airport / Rotherham","Doncaster",70,59.030266,66.99636
"40",2022-04-04,"J34","07:30","Sheffield / Rotherham","Sheffield / Rotherham",70,69.386635,"Sheffield / Rotherham","Sheffield / Rotherham",70,64.3912,"Sheffield / Rotherham","Sheffield Airport / Rotherham",70,65.28641,63.75359
"41",2022-04-04,"J35","07:30","Chapeltown","Sheffield / Rotherham",70,63.37986,"Sheffield / Rotherham","Limited Access",70,64.14664,"Sheffield / Rotherham","Sheffield / Rotherham",70,69.386635,64.3912
"42",2022-04-04,"J35A","07:30","Barnsley","Chapeltown",70,70,"Limited Access","Hoyland",70,65.24397,"Chapeltown","Sheffield / Rotherham",70,63.37986,64.14664
"43",2022-04-04,"J36","07:30","Barnsley","Barnsley",70,69.52478,"Hoyland","Barnsley",70,68.43151,"Barnsley","Chapeltown",70,70,65.24397
"44",2022-04-04,"J37","07:30","Huddersfield","Barnsley",70,64.37049,"Barnsley","Barnsley",70,67.797844,"Barnsley","Barnsley",70,69.52478,68.43151
"45",2022-04-04,"J38","07:30","Wakefield","Huddersfield",70,45.01974,"Barnsley","Wakefield",70,70,"Huddersfield","Barnsley",70,64.37049,67.797844
"46",2022-04-04,"J39","07:30","Dewsbury / Wakefield","Wakefield",70,56.917603,"Wakefield","Wakefield / Dewsbury",70,66.7825,"Wakefield","Huddersfield",70,45.01974,70
"47",2022-04-04,"J40","07:30","Wakefield","Dewsbury / Wakefield",70,58.970993,"Wakefield / Dewsbury","Wakefield / Morley",70,64.35565,"Dewsbury / Wakefield","Wakefield",70,56.917603,66.7825
"48",2022-04-04,"J41","07:30","Manchester / Hull","Wakefield",70,63.20587,"Wakefield / Morley","Manchester / Hull",70,64.86686,"Wakefield","Dewsbury / Wakefield",70,58.970993,64.35565
"49",2022-04-04,"J42","07:30","Leeds","Manchester / Hull",70,61.69439,"Manchester / Hull","Limited Access",70,63.407887,"Manchester / Hull","Wakefield",70,63.20587,64.86686
"50",2022-04-04,"J43|44","07:30","Limited Access","Leeds",70,63.005276,"Limited Access","Limited Access",70,68.03769,"Leeds","Manchester / Hull",70,61.69439,63.407887
"51",2022-04-04,"J45","07:30","Leeds","Limited Access",70,61.515747,"Limited Access","Leeds / Garforth",70,67.90559,"Limited Access","Leeds",70,63.005276,68.03769
"52",2022-04-04,"J46","07:30","Garforth / A1(M) Interchange","Leeds",70,65.68086,"Leeds / Garforth","Garforth / A1(M) Interchange",70,68.9722,"Leeds","Limited Access",70,61.515747,67.90559
"53",2022-04-04,"J47","07:30","A1 (M) Interchange","Garforth / A1(M) Interchange",70,67.72946,"Garforth / A1(M) Interchange","A1 (M) Interchange",70,70,"Garforth / A1(M) Interchange","Leeds",70,65.68086,68.9722
"54",2022-04-04,"J48","07:30",NA,NA,NA,NA,NA,NA,NA,NA,"A1 (M) Interchange","Garforth / A1(M) Interchange",70,67.72946,70
"55",2022-04-05,"J1","07:30","Limited Access","Brent Cross",70,68.9722,"Brent Cross","Mill Hill",70,49.233913,NA,NA,NA,NA,NA
"56",2022-04-05,"J2","07:30","Limited Access","Limited Access",70,70,"Mill Hill","Edgware",70,65.91482,"Limited Access","Brent Cross",70,68.9722,49.233913
"57",2022-04-05,"J4","07:30","Watford","Limited Access",70,70,"Edgware","Watford",70,60.419163,"Limited Access","Limited Access",70,70,65.91482
"58",2022-04-05,"J5","07:30","St Albans","Watford",70,68.44758,"Watford","St Albans",70,67.48552,"Watford","Limited Access",70,70,60.419163
"59",2022-04-05,"J6","07:30","Limited Access","St Albans",70,63.37986,"St Albans","Heathrow",70,70,"St Albans","Watford",70,68.44758,67.48552
"60",2022-04-05,"J6A","07:30","Limited Access","Limited Access",70,62.576305,"Heathrow","Hemel Hempstead",70,62.758488,"Limited Access","St Albans",70,63.37986,70
"61",2022-04-05,"J7","07:30","Hemel Hempstead","Limited Access",50,58.202557,"Hemel Hempstead","Hemel Hempstead",50,53.424255,"Limited Access","Limited Access",70,62.576305,62.758488
"62",2022-04-05,"J8","07:30","Dunstable","Hemel Hempstead",70,65.519165,"Hemel Hempstead","Harpenden",70,42.55711,"Hemel Hempstead","Limited Access",50,58.202557,53.424255
"63",2022-04-05,"J9","07:30","Luton Airport","Dunstable",70,66.64767,"Harpenden","Luton Airport",70,33.3088,"Dunstable","Hemel Hempstead",70,65.519165,42.55711
"64",2022-04-05,"J10","07:30","Luton","Luton Airport",70,65.11941,"Luton Airport","Luton",70,51.6687,"Luton Airport","Dunstable",70,66.64767,33.3088
"65",2022-04-05,"J11","07:30","Dunstable","Luton",70,66.19471,"Luton","Dunstable",70,57.682407,"Luton","Luton Airport",70,65.11941,51.6687
"66",2022-04-05,"J11A","07:30","Flitwick","Dunstable",70,68.89674,"Dunstable","Flitwick",70,58.25355,"Dunstable","Luton",70,66.19471,57.682407
"67",2022-04-05,"J12","07:30","Milton Keynes","Flitwick",70,64.850105,"Flitwick","Bedford",70,62.06473,"Flitwick","Dunstable",70,68.89674,58.25355
"68",2022-04-05,"J13","07:30","Milton Keynes","Milton Keynes",70,65.24397,"Bedford","Milton Keynes",70,62.36811,"Milton Keynes","Flitwick",70,64.850105,62.06473
"69",2022-04-05,"J14","07:30","Northampton","Milton Keynes",70,59.642994,"Milton Keynes","Northampton",70,59.157043,"Milton Keynes","Milton Keynes",70,65.24397,62.36811
"70",2022-04-05,"J15","07:30","Northampton","Northampton",70,57.281242,"Northampton","Northampton",70,50.41089,"Northampton","Milton Keynes",70,59.642994,59.157043
"71",2022-04-05,"J15A","07:30","Northampton","Northampton",70,55.92341,"Northampton","Northampton",70,54.162037,"Northampton","Northampton",70,57.281242,50.41089
"72",2022-04-05,"J16","07:30","Coventry","Northampton",70,63.23704,"Northampton","Limited Access",70,64.78049,"Northampton","Northampton",70,55.92341,54.162037
"73",2022-04-05,"J17","07:30","Rugby","Coventry",70,66.63665,"Limited Access","Rugby",70,67.72946,"Coventry","Northampton",70,63.23704,64.78049
"74",2022-04-05,"J18","07:30","Birmingham","Rugby",70,64.35803,"Rugby","Birmingham",70,65.73539,"Rugby","Coventry",70,66.63665,67.72946
"75",2022-04-05,"J19","07:30","Lutterworth / Rugby","Birmingham",70,59.067604,"Birmingham","Lutterworth / Rugby",70,66.52482,"Birmingham","Rugby",70,64.35803,65.73539
"76",2022-04-05,"J20","07:30","Leicester","Lutterworth / Rugby",70,67.14233,"Lutterworth / Rugby","Leicester",70,70,"Lutterworth / Rugby","Birmingham",70,59.067604,66.52482
"77",2022-04-05,"J21","07:30","Leicester","Leicester",70,63.710987,"Leicester","Limited Access",70,61.99322,"Leicester","Lutterworth / Rugby",70,67.14233,70
"78",2022-04-05,"J21A","07:30","Coalville / Leicester","Leicester",70,68.873795,"Limited Access","Leicester",70,67.72946,"Leicester","Leicester",70,63.710987,61.99322
"79",2022-04-05,"J22","07:30","Loughborough","Coalville / Leicester",70,70,"Leicester","Loughborough",70,49.605118,"Coalville / Leicester","Leicester",70,68.873795,67.72946
"80",2022-04-05,"J23","07:30","Nottingham / East Mids Airport","Loughborough",70,70,"Loughborough","Birmingham",70,62.291412,"Loughborough","Coalville / Leicester",70,70,49.605118
"81",2022-04-05,"J23A","07:30","Derby","Nottingham / East Mids Airport",70,68.05719,"Birmingham","East Mids Airport / Loughborough",70,63.36819,"Nottingham / East Mids Airport","Loughborough",70,70,62.291412
"82",2022-04-05,"J24","07:30","Derby","Derby",70,69.593575,"East Mids Airport / Loughborough","East Mids Airport / Loughborough",70,66.53236,"Derby","Nottingham / East Mids Airport",70,68.05719,63.36819
"83",2022-04-05,"J24A","07:30","Nottingham / Derby","Derby",70,70,"East Mids Airport / Loughborough","Nottingham / Derby",70,67.108086,"Derby","Derby",70,69.593575,66.53236
"84",2022-04-05,"J25","07:30","Nottingham","Nottingham / Derby",70,68.69366,"Nottingham / Derby","Nottingham",70,67.48174,"Nottingham / Derby","Derby",70,70,67.108086
"85",2022-04-05,"J26","07:30","Mansfield","Nottingham",70,67.108086,"Nottingham","Nottingham / Langley Mill",70,69.1164,"Nottingham","Nottingham / Derby",70,68.69366,67.48174
"86",2022-04-05,"J27","07:30","Mansfield","Mansfield",70,69.71372,"Nottingham / Langley Mill","Mansfield",70,66.58989,"Mansfield","Nottingham",70,67.108086,69.1164
"87",2022-04-05,"J28","07:30","Chesterfield / Mansfield","Mansfield",70,67.043434,"Mansfield","Mansfield / Chesterfield",70,66.6005,"Mansfield","Mansfield",70,69.71372,66.58989
"88",2022-04-05,"J29","07:30","Chesterfield (E) / Bolsover","Chesterfield / Mansfield",70,67.108086,"Mansfield / Chesterfield","Chesterfield (E) / Bolsover",70,67.462166,"Chesterfield / Mansfield","Mansfield",70,67.043434,66.6005
"89",2022-04-05,"J29A","07:30","Sheffield","Chesterfield (E) / Bolsover",70,69.544876,"Chesterfield (E) / Bolsover","Worksop",70,69.15293,"Chesterfield (E) / Bolsover","Chesterfield / Mansfield",70,67.108086,67.462166
"90",2022-04-05,"J30","07:30","Sheffield","Sheffield",70,69.70401,"Worksop","Worksop",70,68.34178,"Sheffield","Chesterfield (E) / Bolsover",70,69.544876,69.15293
"91",2022-04-05,"J31","07:30","Doncaster","Sheffield",70,64.83702,"Worksop","Sheffield",70,70,"Sheffield","Sheffield",70,69.70401,68.34178
"92",2022-04-05,"J32","07:30","Sheffield Airport / Rotherham","Doncaster",70,63.31462,"Sheffield","Rotherham",70,66.377754,"Doncaster","Sheffield",70,64.83702,70
"93",2022-04-05,"J33","07:30","Sheffield / Rotherham","Sheffield Airport / Rotherham",70,65.122246,"Rotherham","Sheffield / Rotherham",70,60.397583,"Sheffield Airport / Rotherham","Doncaster",70,63.31462,66.377754
"94",2022-04-05,"J34","07:30","Sheffield / Rotherham","Sheffield / Rotherham",70,69.73162,"Sheffield / Rotherham","Sheffield / Rotherham",70,65.5611,"Sheffield / Rotherham","Sheffield Airport / Rotherham",70,65.122246,60.397583
"95",2022-04-05,"J35","07:30","Chapeltown","Sheffield / Rotherham",70,70,"Sheffield / Rotherham","Limited Access",70,67.94756,"Sheffield / Rotherham","Sheffield / Rotherham",70,69.73162,65.5611
"96",2022-04-05,"J35A","07:30","Barnsley","Chapeltown",70,70,"Limited Access","Hoyland",70,68.9722,"Chapeltown","Sheffield / Rotherham",70,70,67.94756
"97",2022-04-05,"J36","07:30","Barnsley","Barnsley",70,68.00553,"Hoyland","Barnsley",70,70,"Barnsley","Chapeltown",70,70,68.9722
"98",2022-04-05,"J37","07:30","Huddersfield","Barnsley",70,69.86555,"Barnsley","Barnsley",70,70,"Barnsley","Barnsley",70,68.00553,70
"99",2022-04-05,"J38","07:30","Wakefield","Huddersfield",70,66.60282,"Barnsley","Wakefield",70,69.22937,"Huddersfield","Barnsley",70,69.86555,70
"100",2022-04-05,"J39","07:30","Dewsbury / Wakefield","Wakefield",70,65.24397,"Wakefield","Wakefield / Dewsbury",70,69.00201,"Wakefield","Huddersfield",70,66.60282,69.22937
"101",2022-04-05,"J40","07:30","Wakefield","Dewsbury / Wakefield",70,65.66554,"Wakefield / Dewsbury","Wakefield / Morley",70,63.670506,"Dewsbury / Wakefield","Wakefield",70,65.24397,69.00201
"102",2022-04-05,"J41","07:30","Manchester / Hull","Wakefield",70,67.51641,"Wakefield / Morley","Manchester / Hull",70,63.446983,"Wakefield","Dewsbury / Wakefield",70,65.66554,63.670506
"103",2022-04-05,"J42","07:30","Leeds","Manchester / Hull",70,67.62139,"Manchester / Hull","Limited Access",70,69.16575,"Manchester / Hull","Wakefield",70,67.51641,63.446983
"104",2022-04-05,"J43|44","07:30","Limited Access","Leeds",70,70,"Limited Access","Limited Access",70,67.45312,"Leeds","Manchester / Hull",70,67.62139,69.16575
"105",2022-04-05,"J45","07:30","Leeds","Limited Access",70,67.72946,"Limited Access","Leeds / Garforth",70,70,"Limited Access","Leeds",70,70,67.45312
"106",2022-04-05,"J46","07:30","Garforth / A1(M) Interchange","Leeds",70,67.7673,"Leeds / Garforth","Garforth / A1(M) Interchange",70,70,"Leeds","Limited Access",70,67.72946,70
"107",2022-04-05,"J47","07:30","A1 (M) Interchange","Garforth / A1(M) Interchange",70,68.9722,"Garforth / A1(M) Interchange","A1 (M) Interchange",70,70,"Garforth / A1(M) Interchange","Leeds",70,67.7673,70
"108",2022-04-05,"J48","07:30",NA,NA,NA,NA,NA,NA,NA,NA,"A1 (M) Interchange","Garforth / A1(M) Interchange",70,68.9722,70
"109",2022-04-06,"J1","07:30","Limited Access","Brent Cross",70,69.593575,"Brent Cross","Mill Hill",70,53.15325,NA,NA,NA,NA,NA
"110",2022-04-06,"J2","07:30","Limited Access","Limited Access",70,67.334206,"Mill Hill","Edgware",70,65.609375,"Limited Access","Brent Cross",70,69.593575,53.15325
"111",2022-04-06,"J4","07:30","Watford","Limited Access",70,68.66746,"Edgware","Watford",70,62.8627,"Limited Access","Limited Access",70,67.334206,65.609375
"112",2022-04-06,"J5","07:30","St Albans","Watford",70,70,"Watford","St Albans",70,61.161354,"Watford","Limited Access",70,68.66746,62.8627
"113",2022-04-06,"J6","07:30","Limited Access","St Albans",70,63.37986,"St Albans","Heathrow",70,60.967445,"St Albans","Watford",70,70,61.161354
"114",2022-04-06,"J6A","07:30","Limited Access","Limited Access",70,65.0618,"Heathrow","Hemel Hempstead",70,57.78752,"Limited Access","St Albans",70,63.37986,60.967445
"115",2022-04-06,"J7","07:30","Hemel Hempstead","Limited Access",50,58.41245,"Hemel Hempstead","Hemel Hempstead",50,54.2289,"Limited Access","Limited Access",70,65.0618,57.78752
"116",2022-04-06,"J8","07:30","Dunstable","Hemel Hempstead",70,63.614517,"Hemel Hempstead","Harpenden",70,45.498802,"Hemel Hempstead","Limited Access",50,58.41245,54.2289
"117",2022-04-06,"J9","07:30","Luton Airport","Dunstable",70,65.3834,"Harpenden","Luton Airport",70,33.615353,"Dunstable","Hemel Hempstead",70,63.614517,45.498802
"118",2022-04-06,"J10","07:30","Luton","Luton Airport",70,65.24397,"Luton Airport","Luton",70,39.93532,"Luton Airport","Dunstable",70,65.3834,33.615353
"119",2022-04-06,"J11","07:30","Dunstable","Luton",70,63.8739,"Luton","Dunstable",70,58.504707,"Luton","Luton Airport",70,65.24397,39.93532
"120",2022-04-06,"J11A","07:30","Flitwick","Dunstable",70,67.027596,"Dunstable","Flitwick",70,59.658825,"Dunstable","Luton",70,63.8739,58.504707
"121",2022-04-06,"J12","07:30","Milton Keynes","Flitwick",70,62.30775,"Flitwick","Bedford",70,63.30747,"Flitwick","Dunstable",70,67.027596,59.658825
"122",2022-04-06,"J13","07:30","Milton Keynes","Milton Keynes",70,62.36752,"Bedford","Milton Keynes",70,68.04284,"Milton Keynes","Flitwick",70,62.30775,63.30747
"123",2022-04-06,"J14","07:30","Northampton","Milton Keynes",70,56.73525,"Milton Keynes","Northampton",70,58.365494,"Milton Keynes","Milton Keynes",70,62.36752,68.04284
"124",2022-04-06,"J15","07:30","Northampton","Northampton",70,57.78752,"Northampton","Northampton",70,48.646946,"Northampton","Milton Keynes",70,56.73525,58.365494
"125",2022-04-06,"J15A","07:30","Northampton","Northampton",70,56.433525,"Northampton","Northampton",70,51.849422,"Northampton","Northampton",70,57.78752,48.646946
"126",2022-04-06,"J16","07:30","Coventry","Northampton",70,61.437504,"Northampton","Limited Access",70,59.154312,"Northampton","Northampton",70,56.433525,51.849422
"127",2022-04-06,"J17","07:30","Rugby","Coventry",70,61.665676,"Limited Access","Rugby",70,61.515747,"Coventry","Northampton",70,61.437504,59.154312
"128",2022-04-06,"J18","07:30","Birmingham","Rugby",70,61.844555,"Rugby","Birmingham",70,64.134605,"Rugby","Coventry",70,61.665676,61.515747
"129",2022-04-06,"J19","07:30","Lutterworth / Rugby","Birmingham",70,57.969757,"Birmingham","Lutterworth / Rugby",70,66.35518,"Birmingham","Rugby",70,61.844555,64.134605
"130",2022-04-06,"J20","07:30","Leicester","Lutterworth / Rugby",70,63.590435,"Lutterworth / Rugby","Leicester",70,62.881546,"Lutterworth / Rugby","Birmingham",70,57.969757,66.35518
"131",2022-04-06,"J21","07:30","Leicester","Leicester",70,63.903183,"Leicester","Limited Access",70,56.20456,"Leicester","Lutterworth / Rugby",70,63.590435,62.881546
"132",2022-04-06,"J21A","07:30","Coalville / Leicester","Leicester",70,70,"Limited Access","Leicester",70,62.75849,"Leicester","Leicester",70,63.903183,56.20456
"133",2022-04-06,"J22","07:30","Loughborough","Coalville / Leicester",70,70,"Leicester","Loughborough",70,62.242954,"Coalville / Leicester","Leicester",70,70,62.75849
"134",2022-04-06,"J23","07:30","Nottingham / East Mids Airport","Loughborough",70,70,"Loughborough","Birmingham",70,62.90145,"Loughborough","Coalville / Leicester",70,70,62.242954
"135",2022-04-06,"J23A","07:30","Derby","Nottingham / East Mids Airport",70,68.3622,"Birmingham","East Mids Airport / Loughborough",70,62.41532,"Nottingham / East Mids Airport","Loughborough",70,70,62.90145
"136",2022-04-06,"J24","07:30","Derby","Derby",70,67.108086,"East Mids Airport / Loughborough","East Mids Airport / Loughborough",70,67.41475,"Derby","Nottingham / East Mids Airport",70,68.3622,62.41532
"137",2022-04-06,"J24A","07:30","Nottingham / Derby","Derby",70,65.79322,"East Mids Airport / Loughborough","Nottingham / Derby",70,67.108086,"Derby","Derby",70,67.108086,67.41475
"138",2022-04-06,"J25","07:30","Nottingham","Nottingham / Derby",70,65.60473,"Nottingham / Derby","Nottingham",70,67.858376,"Nottingham / Derby","Derby",70,65.79322,67.108086
"139",2022-04-06,"J26","07:30","Mansfield","Nottingham",70,62.635704,"Nottingham","Nottingham / Langley Mill",70,68.422935,"Nottingham","Nottingham / Derby",70,65.60473,67.858376
"140",2022-04-06,"J27","07:30","Mansfield","Mansfield",70,59.77178,"Nottingham / Langley Mill","Mansfield",70,66.174866,"Mansfield","Nottingham",70,62.635704,68.422935
"141",2022-04-06,"J28","07:30","Chesterfield / Mansfield","Mansfield",70,64.41973,"Mansfield","Mansfield / Chesterfield",70,58.51196,"Mansfield","Mansfield",70,59.77178,66.174866
"142",2022-04-06,"J29","07:30","Chesterfield (E) / Bolsover","Chesterfield / Mansfield",70,62.861393,"Mansfield / Chesterfield","Chesterfield (E) / Bolsover",70,64.35532,"Chesterfield / Mansfield","Mansfield",70,64.41973,58.51196
"143",2022-04-06,"J29A","07:30","Sheffield","Chesterfield (E) / Bolsover",70,67.68077,"Chesterfield (E) / Bolsover","Worksop",70,66.887764,"Chesterfield (E) / Bolsover","Chesterfield / Mansfield",70,62.861393,64.35532
"144",2022-04-06,"J30","07:30","Sheffield","Sheffield",70,70,"Worksop","Worksop",70,66.42971,"Sheffield","Chesterfield (E) / Bolsover",70,67.68077,66.887764
"145",2022-04-06,"J31","07:30","Doncaster","Sheffield",70,66.972435,"Worksop","Sheffield",70,65.24397,"Sheffield","Sheffield",70,70,66.42971
"146",2022-04-06,"J32","07:30","Sheffield Airport / Rotherham","Doncaster",70,62.4186,"Sheffield","Rotherham",70,66.09431,"Doncaster","Sheffield",70,66.972435,65.24397
"147",2022-04-06,"J33","07:30","Sheffield / Rotherham","Sheffield Airport / Rotherham",70,64.2892,"Rotherham","Sheffield / Rotherham",70,61.266594,"Sheffield Airport / Rotherham","Doncaster",70,62.4186,66.09431
"148",2022-04-06,"J34","07:30","Sheffield / Rotherham","Sheffield / Rotherham",70,64.89871,"Sheffield / Rotherham","Sheffield / Rotherham",70,67.43807,"Sheffield / Rotherham","Sheffield Airport / Rotherham",70,64.2892,61.266594
"149",2022-04-06,"J35","07:30","Chapeltown","Sheffield / Rotherham",70,65.24397,"Sheffield / Rotherham","Limited Access",70,70,"Sheffield / Rotherham","Sheffield / Rotherham",70,64.89871,67.43807
